 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
 freq       soil_lyr  soil_depth        jday         mon         day          yr        unit                gis_id    name                 sut        tillagef       cons_bmix tillagef_biomix tillagef_tillmix       till_eff            cdg             ox             cs            no3            nh4       co2_resp      soil_temp           emix
 day              7         300           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3249461      0.9992469      0.4399230      0.4210920       7.616794       6.780861       8.549760      0.0000000E+00
 day              8         450           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3318024      0.9787498      0.4354213      0.8221130       9.555298       10.06721       8.695775      0.0000000E+00
 day              9         600           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3394040      0.5428548      0.2442533      0.5314817       8.400438       5.647288       8.857413      0.0000000E+00
 day             10         750           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3462665      0.2131508      9.6870251E-02  0.2299247       7.457850       2.239701       9.003136      0.0000000E+00
 day             11         900           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3523776      0.2003133      9.1835842E-02  0.1722431       6.530071       1.581757       9.132766      0.0000000E+00
 day             12        1050           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3577611      0.2000076      9.2393473E-02  8.4088802E-02   5.794874      0.7404699       9.246870      0.0000000E+00
 day             13        1200           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3624642      0.2000002      9.2995338E-02  8.7264061E-02   4.972806      0.7452933       9.346493      0.0000000E+00
 day             14        1500           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3683761      0.2000000      9.3750581E-02  0.1834269       7.313766       1.502694       9.471651      0.0000000E+00
 day             15        1800           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3744677      0.2000000      9.4522543E-02  0.1898556       5.364201       1.515068       9.600550      0.0000000E+00
 day             16        2000           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3783042      0.2000000      9.5005497E-02  0.1287961       2.902720       1.015205       9.681703      0.0000000E+00
 day              1          10           1           1           1        1975           7                     1 hru0007           0.7150851      5.2727978E-03  9.9999998E-03  5.2727978E-03  0.0000000E+00   1.005273      0.3104402      0.9999998      0.4262792      0.3185945      0.4892084       2.314513       8.239997      0.0000000E+00
 day              2          25           1           1           1        1975           7                     1 hru0007           0.7162194      5.2727978E-03  9.9999998E-03  5.2727978E-03  0.0000000E+00   1.005273      0.3112172      0.9999998      0.4271507       1.183950      0.0000000E+00   2.029889       8.256620      0.0000000E+00
