unit_name,unit_kind,source_file,start_line,parent_unit,reachable_from_main,depth_from_main,first_path_from_main,called_by_known,called_by_reachable_from_main,calls_known_local,calls_known_local_count,calls_unresolved_or_external,calls_ambiguous_local_names,raw_call_sites
re_initialize,subroutine,SWATPLUS/swatplus/src/re_initialize.f90,1,,yes,2,main > calhard_control > re_initialize,calhard_control;calsoft_hyd;calsoft_hyd_bfr_et;calsoft_hyd_bfr_latq;calsoft_hyd_bfr_perc;calsoft_hyd_bfr_pet;calsoft_hyd_bfr_surq;calsoft_plant;calsoft_sed,calhard_control;calsoft_hyd;calsoft_hyd_bfr_et;calsoft_hyd_bfr_latq;calsoft_hyd_bfr_perc;calsoft_hyd_bfr_pet;calsoft_hyd_bfr_surq;calsoft_plant;calsoft_sed,,0,,,
calsoft_hyd,subroutine,SWATPLUS/swatplus/src/calsoft_hyd.f90,1,,yes,2,main > calsoft_control > calsoft_hyd,calsoft_control,calsoft_control,curno;re_initialize;time_control,3,,,re_initialize:107;time_control:113;re_initialize:181;re_initialize:184;time_control:190;re_initialize:254;time_control:260;curno:306;re_initialize:322;time_control:328;curno:376;re_initialize:392;time_control:400;re_initialize:462;time_control:467;re_initialize:527;time_control:533;re_initialize:610;time_control:616;re_initialize:695;time_control:701;curno:747;re_initialize:763;time_control:769;curno:817;re_initialize:833;time_control:841
calsoft_hyd_bfr,subroutine,SWATPLUS/swatplus/src/calsoft_hyd_bfr.f90,1,,yes,2,main > calsoft_control > calsoft_hyd_bfr,calsoft_control,calsoft_control,calsoft_hyd_bfr_et;calsoft_hyd_bfr_latq;calsoft_hyd_bfr_perc;calsoft_hyd_bfr_pet;calsoft_hyd_bfr_surq,5,,,calsoft_hyd_bfr_pet:37;calsoft_hyd_bfr_et:39;calsoft_hyd_bfr_pet:46;calsoft_hyd_bfr_surq:49;calsoft_hyd_bfr_latq:52;calsoft_hyd_bfr_perc:55;calsoft_hyd_bfr_surq:58
calsoft_plant,subroutine,SWATPLUS/swatplus/src/calsoft_plant.f90,1,,yes,2,main > calsoft_control > calsoft_plant,calsoft_control,calsoft_control,calsoft_plant_zero;re_initialize;time_control,3,,,calsoft_plant_zero:83;time_control:84;re_initialize:137;calsoft_plant_zero:158;time_control:159;re_initialize:196;calsoft_plant_zero:220;time_control:221;re_initialize:257;calsoft_plant_zero:279;time_control:280;re_initialize:316;calsoft_plant_zero:339;time_control:340;re_initialize:381;calsoft_plant_zero:405;time_control:406;re_initialize:443;calsoft_plant_zero:466;time_control:467;re_initialize:507;calsoft_plant_zero:530;time_control:531
calsoft_sed,subroutine,SWATPLUS/swatplus/src/calsoft_sed.f90,1,,yes,2,main > calsoft_control > calsoft_sed,calsoft_control,calsoft_control,re_initialize;time_control,2,,,re_initialize:53;time_control:88;re_initialize:99;time_control:124;re_initialize:135;time_control:168;re_initialize:179;time_control:208
caltsoft_hyd,subroutine,SWATPLUS/swatplus/src/caltsoft_hyd.f90,1,,yes,2,main > calsoft_control > caltsoft_hyd,calsoft_control,calsoft_control,ascrv;time_control,2,,,ascrv:98;time_control:120;ascrv:177;time_control:199;time_control:263;time_control:330;time_control:399;time_control:471;time_control:537;time_control:605;ascrv:659;time_control:681;ascrv:739;time_control:761
pl_write_parms_cal,subroutine,SWATPLUS/swatplus/src/pl_write_parms_cal.f90,1,,yes,2,main > calsoft_control > pl_write_parms_cal,calsoft_control,calsoft_control,,0,,,
aqu_1d_control,subroutine,SWATPLUS/swatplus/src/aqu_1d_control.f90,1,,yes,2,main > command > aqu_1d_control,command,command,cs_rctn_aqu;cs_sorb_aqu;salt_chem_aqu,3,,,salt_chem_aqu:76;cs_rctn_aqu:82;cs_sorb_aqu:83
aqu_cs_output,subroutine,SWATPLUS/swatplus/src/aqu_cs_output.f90,1,,yes,2,main > command > aqu_cs_output,command,command,,0,,,
aqu_pesticide_output,subroutine,SWATPLUS/swatplus/src/aqu_pesticide_output.f90,1,,yes,2,main > command > aqu_pesticide_output,command,command,,0,,,
aqu_salt_output,subroutine,SWATPLUS/swatplus/src/aqu_salt_output.f90,1,,yes,2,main > command > aqu_salt_output,command,command,,0,,,
aquifer_output,subroutine,SWATPLUS/swatplus/src/aquifer_output.f90,1,,yes,2,main > command > aquifer_output,command,command,,0,,,
basin_aqu_pest_output,subroutine,SWATPLUS/swatplus/src/basin_aqu_pest_output.f90,1,,yes,2,main > command > basin_aqu_pest_output,command,command,,0,,,
basin_aquifer_output,subroutine,SWATPLUS/swatplus/src/basin_aquifer_output.f90,1,,yes,2,main > command > basin_aquifer_output,command,command,,0,,,
basin_ch_pest_output,subroutine,SWATPLUS/swatplus/src/basin_ch_pest_output.f90,1,,yes,2,main > command > basin_ch_pest_output,command,command,,0,,,
basin_chanbud_output,subroutine,SWATPLUS/swatplus/src/basin_chanbud_output.f90,1,,yes,2,main > command > basin_chanbud_output,command,command,,0,,,
basin_chanmorph_output,subroutine,SWATPLUS/swatplus/src/basin_chanmorph_output.f90,1,,yes,2,main > command > basin_chanmorph_output,command,command,,0,,,
basin_channel_output,subroutine,SWATPLUS/swatplus/src/basin_channel_output.f90,1,,yes,2,main > command > basin_channel_output,command,command,,0,,,
basin_ls_pest_output,subroutine,SWATPLUS/swatplus/src/basin_ls_pest_output.f90,1,,yes,2,main > command > basin_ls_pest_output,command,command,,0,,,
basin_output,subroutine,SWATPLUS/swatplus/src/basin_output.f90,1,,yes,2,main > command > basin_output,command,command,,0,,,
